12, 14, 15, 16, 18, 22, 25, 27, 28, 29
12, 16, 19, 25, 28, 29, 31, 32, 33, 34
9, 17, 19, 20, 22, 23, 25, 27, 29, 31
11, 14, 23, 26, 27, 28, 29, 30, 31, 32
13, 19, 20, 21, 23, 25, 28, 31, 32, 33
10, 11, 12, 14, 16, 17, 18, 19, 23, 24
7, 14, 17, 18, 19, 22, 23, 24, 25, 26
3, 10, 11, 14, 17, 20, 22, 23, 24, 25
11, 12, 18, 20, 21, 23, 25, 27, 30, 31
18, 21, 23, 27, 28, 29, 30, 31, 33, 34
15, 17, 19, 28, 30, 31, 32, 33, 36, 37
10, 11, 12, 14, 24, 25, 27, 29, 30, 31
11, 15, 17, 21, 22, 23, 24, 25, 26, 27
5, 6, 20, 25, 26, 29, 30, 31, 33, 34
5, 15, 18, 21, 23, 25, 27, 28, 29, 30
15, 18, 21, 23, 24, 25, 27, 30, 31, 33
10, 20, 24, 25, 27, 31, 32, 34, 35, 36
13, 15, 16, 17, 18, 25, 29, 30, 32, 33
10, 12, 22, 23, 25, 26, 30, 31, 32, 35
14, 15, 16, 18, 20, 22, 23, 24, 25, 27
12, 15, 16, 19, 21, 23, 25, 26, 27, 28
5, 17, 18, 19, 20, 22, 23, 26, 28, 29
14, 16, 17, 20, 21, 22, 24, 25, 26, 27
9, 13, 15, 18, 20, 21, 22, 25, 30, 31
11, 12, 15, 16, 20, 22, 23, 25, 28, 29
11, 14, 15, 16, 17, 20, 21, 22, 23, 24
11, 13, 16, 17, 18, 19, 20, 23, 24, 25
20, 22, 23, 26, 28, 29, 30, 31, 33, 34
15, 19, 23, 25, 27, 28, 29, 31, 32, 33
11, 12, 13, 14, 15, 17, 20, 22, 28, 29
11, 14, 16, 17, 21, 24, 25, 26, 28, 30
14, 15, 18, 19, 20, 21, 22, 24, 25, 26
7, 11, 17, 21, 23, 26, 27, 28, 29, 31
19, 23, 24, 26, 30, 31, 36, 37, 39, 40
13, 14, 15, 18, 20, 21, 22, 25, 26, 27
10, 14, 18, 21, 23, 24, 25, 26, 27, 28
8, 19, 20, 21, 22, 25, 26, 28, 30, 31
6, 13, 19, 20, 23, 24, 26, 29, 30, 31
8, 10, 13, 15, 16, 20, 22, 23, 24, 25
13, 16, 18, 20, 21, 22, 23, 25, 27, 28
11, 16, 21, 22, 24, 25, 26, 27, 29, 30
11, 12, 14, 18, 19, 20, 22, 25, 26, 27
16, 18, 19, 21, 22, 24, 26, 27, 28, 29
6, 10, 17, 19, 20, 22, 25, 27, 28, 29
14, 16, 17, 18, 24, 25, 26, 27, 28, 29
10, 17, 19, 20, 23, 24, 25, 27, 30, 31
2, 10, 14, 15, 17, 19, 22, 23, 24, 25
4, 11, 12, 13, 14, 16, 19, 23, 27, 28
11, 18, 19, 20, 21, 23, 24, 26, 27, 28
14, 16, 18, 20, 22, 24, 25, 26, 27, 29
13, 19, 20, 25, 26, 28, 31, 32, 34, 35
6, 9, 15, 16, 23, 24, 25, 26, 27, 28
2, 15, 16, 21, 22, 25, 27, 30, 32, 33
12, 13, 16, 18, 20, 22, 23, 24, 25, 26
10, 11, 13, 14, 17, 21, 24, 26, 27, 28
12, 14, 17, 20, 23, 24, 25, 27, 29, 30
7, 9, 14, 20, 22, 24, 25, 26, 27, 29
14, 15, 17, 18, 20, 21, 22, 24, 25, 26
15, 17, 18, 20, 21, 22, 23, 28, 30, 31
10, 11, 12, 14, 16, 18, 21, 22, 23, 24
14, 19, 20, 24, 27, 28, 29, 30, 32, 33
9, 10, 15, 20, 22, 25, 26, 28, 31, 33
12, 19, 20, 27, 28, 30, 31, 32, 33, 36
12, 13, 16, 18, 23, 24, 25, 26, 27, 31
10, 13, 14, 16, 22, 27, 30, 31, 33, 34
7, 22, 25, 27, 29, 30, 32, 33, 34, 35
9, 12, 14, 18, 20, 22, 23, 25, 26, 27
17, 23, 25, 27, 31, 32, 33, 34, 37, 38
17, 20, 22, 25, 26, 27, 28, 30, 31, 32
18, 20, 23, 25, 26, 27, 28, 30, 31, 34
11, 12, 13, 15, 16, 18, 20, 21, 22, 23
16, 18, 19, 20, 24, 28, 30, 31, 32, 33
6, 14, 16, 19, 21, 22, 23, 25, 26, 28
7, 16, 17, 21, 22, 23, 24, 25, 27, 28
11, 14, 16, 18, 19, 21, 23, 24, 25, 26
7, 14, 22, 24, 25, 28, 29, 30, 33, 34
8, 12, 14, 15, 21, 22, 24, 25, 26, 30
21, 22, 23, 25, 26, 27, 28, 29, 30, 31
7, 14, 16, 18, 19, 22, 23, 26, 27, 28
16, 23, 24, 25, 26, 27, 28, 29, 30, 31
19, 20, 21, 22, 23, 24, 25, 26, 28, 30
18, 19, 20, 23, 24, 26, 27, 28, 29, 30
16, 18, 21, 22, 26, 27, 28, 29, 30, 31
13, 15, 16, 26, 28, 29, 31, 32, 33, 34
10, 12, 15, 18, 22, 24, 25, 27, 29, 30
6, 11, 16, 18, 21, 23, 27, 28, 31, 32
8, 9, 15, 17, 18, 19, 20, 21, 24, 25
2, 3, 9, 15, 18, 22, 23, 24, 26, 27
7, 12, 15, 17, 24, 27, 28, 29, 30, 31
16, 17, 19, 22, 25, 27, 29, 30, 31, 32
12, 15, 18, 22, 23, 24, 26, 28, 29, 31
13, 21, 22, 25, 26, 28, 29, 31, 33, 34
9, 12, 15, 16, 18, 22, 24, 25, 26, 29
2, 4, 12, 13, 15, 18, 19, 22, 23, 25
8, 18, 19, 20, 21, 24, 25, 26, 28, 29
7, 10, 12, 13, 17, 18, 21, 22, 23, 26
14, 15, 16, 17, 18, 19, 22, 25, 26, 27
4, 11, 12, 19, 24, 26, 28, 30, 31, 32
13, 14, 17, 18, 24, 26, 28, 29, 32, 33
13, 16, 21, 23, 29, 30, 34, 35, 36, 37
13, 14, 15, 17, 22, 23, 24, 25, 27, 29
14, 17, 22, 24, 29, 34, 35, 37, 38, 39
6, 16, 17, 18, 22, 24, 25, 26, 27, 30
4, 13, 16, 17, 22, 23, 24, 27, 28, 31
11, 13, 14, 15, 18, 20, 21, 25, 26, 28
11, 15, 18, 21, 22, 24, 25, 29, 31, 32
13, 15, 16, 18, 19, 20, 23, 25, 26, 28
14, 15, 17, 18, 19, 23, 24, 25, 26, 27
10, 11, 15, 23, 25, 26, 28, 29, 32, 33
12, 16, 20, 21, 23, 25, 26, 30, 31, 34
14, 16, 21, 24, 25, 26, 27, 28, 29, 30
14, 20, 23, 24, 26, 27, 29, 30, 31, 34
7, 18, 20, 24, 25, 26, 27, 28, 29, 30
2, 8, 12, 19, 20, 22, 23, 24, 25, 26
9, 14, 15, 18, 20, 22, 25, 26, 27, 29
10, 13, 15, 26, 29, 30, 32, 34, 35, 36
14, 19, 22, 24, 27, 28, 29, 30, 32, 35
10, 13, 14, 19, 21, 24, 26, 28, 29, 30
9, 16, 21, 24, 25, 26, 27, 29, 33, 36
7, 13, 17, 18, 21, 22, 24, 26, 27, 28
13, 16, 17, 21, 22, 27, 28, 29, 30, 31
9, 12, 14, 17, 18, 20, 21, 22, 23, 24
10, 14, 15, 16, 18, 21, 22, 24, 25, 26
12, 17, 18, 19, 22, 25, 26, 27, 29, 30
13, 14, 15, 20, 25, 27, 28, 29, 31, 32
8, 17, 18, 19, 21, 22, 26, 28, 29, 30
10, 18, 20, 21, 25, 26, 27, 28, 29, 30
12, 14, 15, 16, 19, 20, 22, 23, 26, 27
10, 14, 21, 22, 23, 24, 26, 27, 28, 29
7, 12, 13, 16, 22, 24, 25, 26, 27, 29
7, 15, 22, 23, 24, 26, 27, 28, 29, 30
10, 15, 16, 17, 20, 25, 26, 29, 30, 31
12, 15, 17, 18, 20, 22, 23, 24, 25, 26
16, 18, 23, 24, 25, 26, 29, 30, 31, 33
14, 17, 20, 23, 26, 27, 29, 30, 31, 32
10, 21, 22, 26, 28, 31, 32, 34, 38, 39
5, 15, 17, 18, 19, 20, 21, 24, 26, 27
15, 17, 18, 19, 23, 24, 26, 27, 29, 30
13, 14, 16, 21, 22, 23, 25, 26, 27, 30
17, 19, 21, 22, 25, 26, 27, 33, 34, 36
11, 15, 16, 20, 25, 26, 27, 28, 29, 31
12, 15, 18, 21, 22, 23, 25, 26, 27, 28
7, 12, 15, 17, 18, 19, 22, 24, 25, 27
8, 10, 16, 18, 20, 24, 27, 28, 29, 31
8, 12, 16, 17, 18, 19, 24, 25, 26, 28
8, 10, 15, 18, 19, 26, 29, 30, 31, 32
10, 15, 18, 19, 21, 22, 23, 24, 27, 28
8, 13, 15, 20, 21, 24, 26, 27, 29, 30
8, 9, 13, 15, 16, 19, 22, 25, 26, 28
12, 13, 14, 17, 20, 21, 22, 23, 24, 30
