90, 142
181, 227
125, 145
92, 170
76, 187
145, 167
61, 71
86, 182
96, 216
66, 107
121, 209
103, 146
74, 118
44, 55
146, 190
124, 143
152, 171
43, 113
90, 123
69, 166
81, 201
106, 149
128, 194
65, 165
91, 125
111, 167
170, 182
89, 132
67, 123
151, 244
69, 214
87, 172
88, 112
126, 136
28, 70
112, 162
108, 119
70, 117
149, 161
37, 171
116, 149
76, 149
92, 106
91, 129
208, 221
64, 134
35, 83
124, 204
80, 115
76, 100
144, 180
98, 166
145, 168
78, 84
162, 202
100, 171
119, 186
157, 164
161, 195
144, 150
22, 78
115, 140
182, 186
30, 35
72, 114
91, 167
125, 194
184, 212
146, 205
135, 177
172, 198
80, 95
102, 195
67, 113
81, 147
74, 105
81, 124
57, 192
115, 177
70, 185
171, 190
194, 218
68, 158
70, 111
121, 156
120, 143
90, 154
35, 119
82, 132
144, 164
105, 150
133, 138
65, 198
75, 157
62, 130
22, 232
107, 117
72, 180
74, 92
58, 179
137, 144
83, 160
99, 134
114, 198
150, 204
121, 170
53, 84
155, 193
159, 176
173, 179
65, 98
94, 156
109, 148
135, 161
138, 161
110, 172
184, 198
80, 139
104, 156
90, 121
183, 192
113, 175
110, 122
36, 130
92, 166
98, 191
32, 77
139, 193
152, 187
181, 203
83, 166
62, 165
88, 213
121, 152
46, 167
75, 81
49, 151
80, 106
76, 102
32, 127
64, 184
160, 199
69, 126
78, 179
118, 191
92, 146
163, 168
138, 149
54, 98
130, 142
72, 73
101, 118
38, 62
83, 132
120, 170
140, 153
105, 132
123, 157
191, 198
128, 211
44, 111
96, 170
124, 165
90, 91
106, 122
88, 199
125, 141
110, 119
165, 169
82, 133
43, 129
113, 149
93, 133
22, 191
73, 101
46, 166
84, 131
108, 165
79, 83
48, 51
61, 125
121, 141
87, 215
143, 240
20, 82
64, 112
116, 131
45, 60
96, 218
132, 160
58, 90
86, 157
148, 163
36, 150
103, 190
36, 38
68, 145
92, 97
124, 191
177, 186
184, 198
72, 196
78, 18446744073709551615
106, 172
103, 156
124, 143
65, 89
152, 155
150, 178
65, 116
182, 186
58, 178
97, 180
82, 99
94, 164
58, 70
129, 163
90, 95
50, 116
180, 219
65, 144
89, 135
107, 151
108, 161
68, 186
123, 135
55, 137
17, 144
82, 157
200, 214
149, 206
43, 186
125, 143
109, 199
54, 160
106, 113
116, 161
118, 146
154, 156
112, 156
42, 97
75, 139
91, 148
111, 178
103, 106
53, 169
73, 112
104, 132
190, 205
55, 143
116, 163
37, 74
46, 192
132, 154
154, 222
95, 136
61, 153
140, 165
100, 134
62, 78
106, 122
144, 148
37, 82
67, 174
136, 157
72, 81
58, 176
72, 180
8, 195
30, 36
110, 222
79, 171
74, 104
105, 198
32, 186
95, 115
108, 142
111, 145
95, 189
59, 151
71, 87
107, 183
57, 176
55, 138
131, 201
83, 211
107, 131
11, 217
88, 116
96, 155
105, 123
104, 161
67, 141
46, 91
95, 135
147, 200
120, 141
59, 64
71, 174
132, 232
88, 99
151, 210
45, 115
158, 194
62, 139
70, 163
64, 159
51, 69
105, 141
99, 177
142, 157
153, 215
117, 173
146, 160
53, 78
103, 200
115, 133
99, 180
59, 132
131, 182
102, 117
61, 115
49, 69
115, 204
170, 193
50, 109
155, 194
159, 175
140, 161
120, 153
89, 127
207, 208
72, 181
141, 167
123, 157
95, 160
146, 196
124, 178
111, 134
120, 190
144, 175
69, 156
138, 168
155, 156
111, 205
81, 190
48, 221
55, 139
75, 181
17, 110
39, 82
62, 114
110, 184
82, 137
36, 207
174, 201
100, 182
133, 161
92, 136
59, 91
105, 183
71, 172
146, 189
71, 147
78, 108
36, 138
88, 135
65, 160
78, 158
89, 133
41, 179
75, 121
57, 171
128, 214
62, 144
156, 165
142, 218
136, 213
150, 164
87, 206
122, 174
79, 116
158, 206
98, 166
53, 159
80, 161
60, 203
139, 173
86, 191
59, 183
177, 208
114, 230
151, 191
78, 90
33, 167
97, 115
159, 227
117, 145
154, 179
68, 153
141, 196
55, 82
185, 193
113, 137
41, 74
83, 89
50, 118
22, 138
163, 216
120, 195
84, 94
83, 192
156, 186
48, 238
109, 112
119, 202
169, 214
121, 168
137, 168
77, 202
181, 191
93, 159
129, 170
92, 132
81, 141
174, 191
97, 162
71, 176
76, 209
110, 156
129, 149
143, 168
95, 179
62, 140
139, 211
148, 173
68, 125
104, 163
76, 160
109, 222
150, 225
25, 41
164, 181
75, 167
92, 175
103, 226
152, 215
125, 146
147, 188
137, 185
185, 213
47, 221
151, 154
43, 114
150, 179
79, 117
82, 129
125, 139
127, 187
95, 140
106, 152
40, 195
121, 131
87, 90
105, 215
128, 179
123, 134
41, 178
57, 197
152, 166
20, 153
52, 98
100, 142
122, 205
76, 151
96, 164
116, 197
86, 130
69, 159
108, 132
168, 184
30, 84
57, 58
51, 149
129, 137
124, 168
29, 198
163, 217
55, 198
92, 127
100, 218
136, 165
67, 93
91, 138
62, 77
110, 159
63, 179
112, 133
202, 206
175, 176
103, 202
100, 126
55, 166
116, 153
132, 183
178, 215
101, 205
68, 81
110, 176
114, 166
120, 18446744073709551615
67, 131
87, 124
166, 194
168, 176
67, 202
93, 168
43, 55
69, 243
